Ward,District,Area,Latitude,Longitude
Phường Tân Định,Quận 1,"Phường Tân Định, Quận 1",10.79266,106.69129
Phường Đa Kao,Quận 1,"Phường Đa Kao, Quận 1",10.78839,106.69759
Phường Bến Nghé,Quận 1,"Phường Bến Nghé, Quận 1",10.78133,106.70537
Phường Bến Thành,Quận 1,"Phường Bến Thành, Quận 1",10.77323,106.69899
Phường Nguyễn Thái Bình,Quận 1,"Phường Nguyễn Thái Bình, Quận 1",10.7679,106.7005
Phường Phạm Ngũ Lão,Quận 1,"Phường Phạm Ngũ Lão, Quận 1",10.76856,106.69304
Phường Cầu Ông Lãnh,Quận 1,"Phường Cầu Ông Lãnh, Quận 1",10.76584,106.69669
Phường Cô Giang,Quận 1,"Phường Cô Giang, Quận 1",10.76232,106.69396
Phường Nguyễn Cư Trinh,Quận 1,"Phường Nguyễn Cư Trinh, Quận 1",10.76277,106.68727
Phường Cầu Kho,Quận 1,"Phường Cầu Kho, Quận 1",10.75796,106.68882
Phường Thạnh Xuân,Quận 12,"Phường Thạnh Xuân, Quận 12",10.87865,106.67744
Phường Thạnh Lộc,Quận 12,"Phường Thạnh Lộc, Quận 12",10.88037,106.68707
Phường Hiệp Thành,Quận 12,"Phường Hiệp Thành, Quận 12",10.88074,106.63852
Phường Thới An,Quận 12,"Phường Thới An, Quận 12",10.87569,106.65485
Phường Tân Chánh Hiệp,Quận 12,"Phường Tân Chánh Hiệp, Quận 12",10.86648,106.62745
Phường An Phú Đông,Quận 12,"Phường An Phú Đông, Quận 12",10.85987,106.69947
Phường Tân Thới Hiệp,Quận 12,"Phường Tân Thới Hiệp, Quận 12",10.86325,106.64039
Phường Trung Mỹ Tây,Quận 12,"Phường Trung Mỹ Tây, Quận 12",10.85659,106.61617
Phường Tân Hưng Thuận,Quận 12,"Phường Tân Hưng Thuận, Quận 12",10.84259,106.62223
Phường Đông Hưng Thuận,Quận 12,"Phường Đông Hưng Thuận, Quận 12",10.83851,106.62963
Phường Tân Thới Nhất,Quận 12,"Phường Tân Thới Nhất, Quận 12",10.8296,106.61531
Phường Linh Xuân,Quận Thủ Đức,"Phường Linh Xuân, Quận Thủ Đức",10.88217,106.77025
Phường Bình Chiểu,Quận Thủ Đức,"Phường Bình Chiểu, Quận Thủ Đức",10.88364,106.72796
Phường Linh Trung,Quận Thủ Đức,"Phường Linh Trung, Quận Thủ Đức",10.86455,106.78103
Phường Tam Bình,Quận Thủ Đức,"Phường Tam Bình, Quận Thủ Đức",10.86694,106.73403
Phường Tam Phú,Quận Thủ Đức,"Phường Tam Phú, Quận Thủ Đức",10.85935,106.74077
Phường Hiệp Bình Phước,Quận Thủ Đức,"Phường Hiệp Bình Phước, Quận Thủ Đức",10.84367,106.71568
Phường Hiệp Bình Chánh,Quận Thủ Đức,"Phường Hiệp Bình Chánh, Quận Thủ Đức",10.83438,106.72825
Phường Linh Chiểu,Quận Thủ Đức,"Phường Linh Chiểu, Quận Thủ Đức",10.85559,106.76157
Phường Linh Tây,Quận Thủ Đức,"Phường Linh Tây, Quận Thủ Đức",10.86549,106.75359
Phường Linh Đông,Quận Thủ Đức,"Phường Linh Đông, Quận Thủ Đức",10.84803,106.74344
Phường Bình Thọ,Quận Thủ Đức,"Phường Bình Thọ, Quận Thủ Đức",10.84521,106.76623
Phường Trường Thọ,Quận Thủ Đức,"Phường Trường Thọ, Quận Thủ Đức",10.83294,106.75646
Phường Long Bình,Quận 9,"Phường Long Bình, Quận 9",10.8478,106.83847
Phường Long Thạnh Mỹ,Quận 9,"Phường Long Thạnh Mỹ, Quận 9",10.8454,106.81973
Phường Tân Phú,Quận 9,"Phường Tân Phú, Quận 9",10.86124,106.7985
Phường Hiệp Phú,Quận 9,"Phường Hiệp Phú, Quận 9",10.84796,106.78068
Phường Tăng Nhơn Phú A,Quận 9,"Phường Tăng Nhơn Phú A, Quận 9",10.84713,106.79069
Phường Tăng Nhơn Phú B,Quận 9,"Phường Tăng Nhơn Phú B, Quận 9",10.83772,106.78112
Phường Phước Long B,Quận 9,"Phường Phước Long B, Quận 9",10.81234,106.78202
Phường Phước Long A,Quận 9,"Phường Phước Long A, Quận 9",10.8259,106.76417
Phường Trường Thạnh,Quận 9,"Phường Trường Thạnh, Quận 9",10.82475,106.82999
Phường Long Phước,Quận 9,"Phường Long Phước, Quận 9",10.80717,106.85952
Phường Long Trường,Quận 9,"Phường Long Trường, Quận 9",10.80603,106.82187
Phường Phước Bình,Quận 9,"Phường Phước Bình, Quận 9",10.81513,106.77127
Phường Phú Hữu,Quận 9,"Phường Phú Hữu, Quận 9",10.79353,106.80007
Phường 15,Quận Gò Vấp,"Phường 15, Quận Gò Vấp",10.85008,106.67018
Phường 13,Quận Gò Vấp,"Phường 13, Quận Gò Vấp",10.85494,106.65897
Phường 17,Quận Gò Vấp,"Phường 17, Quận Gò Vấp",10.83854,106.67777
Phường 6,Quận Gò Vấp,"Phường 6, Quận Gò Vấp",10.84157,106.68009
Phường 16,Quận Gò Vấp,"Phường 16, Quận Gò Vấp",10.84783,106.66306
Phường 12,Quận Gò Vấp,"Phường 12, Quận Gò Vấp",10.83524,106.63927
Phường 14,Quận Gò Vấp,"Phường 14, Quận Gò Vấp",10.85347,106.64875
Phường 10,Quận Gò Vấp,"Phường 10, Quận Gò Vấp",10.83398,106.66531
Phường 5,Quận Gò Vấp,"Phường 5, Quận Gò Vấp",10.83527,106.6878
Phường 7,Quận Gò Vấp,"Phường 7, Quận Gò Vấp",10.82891,106.68337
Phường 4,Quận Gò Vấp,"Phường 4, Quận Gò Vấp",10.82099,106.68404
Phường 1,Quận Gò Vấp,"Phường 1, Quận Gò Vấp",10.81869,106.68838
Phường 9,Quận Gò Vấp,"Phường 9, Quận Gò Vấp",10.84647,106.65113
Phường 8,Quận Gò Vấp,"Phường 8, Quận Gò Vấp",10.84197,106.64844
Phường 11,Quận Gò Vấp,"Phường 11, Quận Gò Vấp",10.84178,106.66127
Phường 3,Quận Gò Vấp,"Phường 3, Quận Gò Vấp",10.81712,106.67874
Phường 13,Quận Bình Thạnh,"Phường 13, Quận Bình Thạnh",10.8294,106.70531
Phường 11,Quận Bình Thạnh,"Phường 11, Quận Bình Thạnh",10.81732,106.69397
Phường 27,Quận Bình Thạnh,"Phường 27, Quận Bình Thạnh",10.81586,106.71928
Phường 26,Quận Bình Thạnh,"Phường 26, Quận Bình Thạnh",10.81295,106.71085
Phường 12,Quận Bình Thạnh,"Phường 12, Quận Bình Thạnh",10.81157,106.69868
Phường 25,Quận Bình Thạnh,"Phường 25, Quận Bình Thạnh",10.80624,106.71864
Phường 5,Quận Bình Thạnh,"Phường 5, Quận Bình Thạnh",10.81259,106.68755
Phường 7,Quận Bình Thạnh,"Phường 7, Quận Bình Thạnh",10.80768,106.69283
Phường 24,Quận Bình Thạnh,"Phường 24, Quận Bình Thạnh",10.80596,106.70559
Phường 6,Quận Bình Thạnh,"Phường 6, Quận Bình Thạnh",10.80753,106.68666
Phường 14,Quận Bình Thạnh,"Phường 14, Quận Bình Thạnh",10.80733,106.69626
Phường 15,Quận Bình Thạnh,"Phường 15, Quận Bình Thạnh",10.8011,106.70638
Phường 2,Quận Bình Thạnh,"Phường 2, Quận Bình Thạnh",10.79926,106.70032
Phường 1,Quận Bình Thạnh,"Phường 1, Quận Bình Thạnh",10.8,106.69718
Phường 3,Quận Bình Thạnh,"Phường 3, Quận Bình Thạnh",10.79832,106.6939
Phường 17,Quận Bình Thạnh,"Phường 17, Quận Bình Thạnh",10.79777,106.7061
Phường 21,Quận Bình Thạnh,"Phường 21, Quận Bình Thạnh",10.79682,106.71157
Phường 22,Quận Bình Thạnh,"Phường 22, Quận Bình Thạnh",10.79161,106.71852
Phường 19,Quận Bình Thạnh,"Phường 19, Quận Bình Thạnh",10.79113,106.70997
Phường 28,Quận Bình Thạnh,"Phường 28, Quận Bình Thạnh",10.82703,106.73712
Phường 2,Quận Tân Bình,"Phường 2, Quận Tân Bình",10.80607,106.66708
Phường 4,Quận Tân Bình,"Phường 4, Quận Tân Bình",10.80356,106.66031
Phường 12,Quận Tân Bình,"Phường 12, Quận Tân Bình",10.8052,106.65067
Phường 13,Quận Tân Bình,"Phường 13, Quận Tân Bình",10.80644,106.64184
Phường 1,Quận Tân Bình,"Phường 1, Quận Tân Bình",10.799,106.66717
Phường 3,Quận Tân Bình,"Phường 3, Quận Tân Bình",10.79347,106.66298
Phường 11,Quận Tân Bình,"Phường 11, Quận Tân Bình",10.7894,106.64837
Phường 7,Quận Tân Bình,"Phường 7, Quận Tân Bình",10.7854,106.65541
Phường 5,Quận Tân Bình,"Phường 5, Quận Tân Bình",10.78916,106.66283
Phường 10,Quận Tân Bình,"Phường 10, Quận Tân Bình",10.78354,106.64826
Phường 6,Quận Tân Bình,"Phường 6, Quận Tân Bình",10.7855,106.65808
Phường 8,Quận Tân Bình,"Phường 8, Quận Tân Bình",10.78482,106.65312
Phường 9,Quận Tân Bình,"Phường 9, Quận Tân Bình",10.77727,106.65236
Phường 14,Quận Tân Bình,"Phường 14, Quận Tân Bình",10.79796,106.64317
Phường 15,Quận Tân Bình,"Phường 15, Quận Tân Bình",10.82308,106.65034
Phường Tân Sơn Nhì,Quận Tân Phú,"Phường Tân Sơn Nhì, Quận Tân Phú",10.79891,106.63193
Phường Tây Thạnh,Quận Tân Phú,"Phường Tây Thạnh, Quận Tân Phú",10.81451,106.6203
Phường Sơn Kỳ,Quận Tân Phú,"Phường Sơn Kỳ, Quận Tân Phú",10.8037,106.62264
Phường Tân Quý,Quận Tân Phú,"Phường Tân Quý, Quận Tân Phú",10.79493,106.62133
Phường Tân Thành,Quận Tân Phú,"Phường Tân Thành, Quận Tân Phú",10.79073,106.63455
Phường Phú Thọ Hòa,Quận Tân Phú,"Phường Phú Thọ Hòa, Quận Tân Phú",10.78471,106.62762
Phường Phú Thạnh,Quận Tân Phú,"Phường Phú Thạnh, Quận Tân Phú",10.77916,106.62847
Phường Phú Trung,Quận Tân Phú,"Phường Phú Trung, Quận Tân Phú",10.77914,106.64196
Phường Hòa Thạnh,Quận Tân Phú,"Phường Hòa Thạnh, Quận Tân Phú",10.78047,106.63611
Phường Hiệp Tân,Quận Tân Phú,"Phường Hiệp Tân, Quận Tân Phú",10.77184,106.62722
