Area,Ward,District,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Cuc Gach Quan,10.790773351792526,106.69179532524467,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Cục Gạch,10.792957067150258,106.68902047646318,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Cơm Tấm Nguyễn Phi Khanh,10.791675640174919,106.69215860729794,Breakfast Spot
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Bánh Canh Hoàng Ty,10.791866903292965,106.69155962260183,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Pho Hien,10.79281054445823,106.69360808643351,Breakfast Spot
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Tib Vegetarian,10.792703418403262,106.68970978009715,Vegetarian / Vegan Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Bánh canh cua 87,10.794697026825887,106.69091710373509,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Com Tam Bui,10.790853670747309,106.69151930356693,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,1988 HOME UP,10.793199057241733,106.69032103988607,Design Studio
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,The Coffee House,10.796334454661688,106.6906698725093,Coffee Shop
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Bánh Xèo 46 Đinh Công Tráng,10.78964209129958,106.69138984975618,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Buddha Chay,10.792762321459959,106.68825204275645,Vegetarian / Vegan Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Sivananda Yoga Vedanta Center,10.793292024286444,106.68834604350593,Yoga Studio
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Bản Sonate,10.79238442906386,106.68865075423189,Café
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Cộng Cà Phê,10.796060260521044,106.69079504769809,Café
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Coconut Spa,10.796772003173828,106.68975830078125,Spa
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Cửa hàng cafe 81,10.791763405848187,106.68790267941466,Café
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Faifo Restaurant,10.793963664687022,106.68947782310313,Asian Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Bún Bò Huế Mạ Ơi,10.790584254280635,106.69207315787001,Asian Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Trà Chanh Ngõ 8,10.795977512629618,106.68963411512716,Snack Place
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,cafe Hào - trần quang khải,10.791403327383764,106.68814108061831,Café
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Cơm Tấm Tứ Quý,10.789426263954057,106.69035558808586,Food Truck
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Monkey In Black Coffee,10.791303736213775,106.68808107895899,Coffee Shop
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,5KU station,10.791158,106.687766,Bar
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Mệ Vui,10.788837269789283,106.68909901865841,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Chợ Tân Định,10.789622159609584,106.69008775860382,Market
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Quan Bui,10.791836636433707,106.68787378766638,Vietnamese Restaurant
"Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,10.79266,106.69129,Banh Mi Bistro,10.788948,106.693221,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Manmaru,10.788212619866897,106.69572902037193,Japanese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,The Vintage Emporium,10.790145563752521,106.69920824478388,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,[a] Coffee,10.790357906466776,106.69653980340975,Coffee Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Cafe & Tib Chay,10.790763246697962,106.698351888187,Vegetarian / Vegan Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Noir. Dining in the Dark Saigon,10.786484355854066,106.6946791134439,Asian Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Nhà Hàng Chay Sân Mây,10.789044519748435,106.69824948161342,Vegetarian / Vegan Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,96B Experiment,10.790187,106.696765,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Cục Gạch Cafe 2,10.790374914820879,106.69881333882724,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Tổ Cafe,10.78869910291443,106.69782958764031,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Le Van Tam Park (Công Viên Lê Văn Tám),10.787526896134207,106.69423653713271,Park
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Belgo,10.788720622757573,106.69800946572015,Beer Bar
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,The Street,10.78723986257279,106.69671135800733,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Sữa Tươi Mười,10.784473681076902,106.69801672764497,Dessert Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Warning Zone 219,10.785803556879825,106.69513201901471,Bistro
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Ebisu Restaurant,10.785075862176932,106.69903713103172,Japanese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Kamakura,10.789984,106.69913,Dessert Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,New York Steakhouse,10.788695175247517,106.6998018455779,Steakhouse
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,An Viên (Authentic Vietnamese Restaurant),10.786125498563685,106.69456755021085,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,A Cafe 15,10.790441,106.696787,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Hoa Viên Brauhaus,10.78580808608002,106.69896394758753,Beer Garden
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Hoa Đăng (Loving Hut),10.789964093818135,106.69607150092499,Vegetarian / Vegan Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Japanease Restaurant SAKAI,10.787492567594654,106.69644591216266,Japanese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Caffe Bene,10.784922335444996,106.69921738079412,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,2F beer club,10.789511416526606,106.69755264552772,Beer Garden
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Moc Spa,10.786329,106.70027,Spa
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Quan 94 - Dac san cua bien,10.79024160296798,106.69769713094334,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Mì Quảng Ngon Phố Thị,10.78948809657776,106.69841425180763,Noodle House
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,G Coffee,10.787355499555208,106.69672370695179,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Chua Phuoc Hai,10.791682006723986,106.69783655295561,Museum
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Kem Nhãn Chú Tám,10.791326722619322,106.69642544708965,Ice Cream Shop
